The state associated with the return,The State Federal Information Processing System (FIPS) code,zipcode,Number of returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of elderly returns,Adjusted gross income (AGI),Number of returns with total income, Total income amount ,Total Income Tax,Mean Income,agi_stub_count,note
TX,48,77328,7760,3190,1250,16600,1600,477629,7760," 481,305 ",45615," 62,023.84 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77331,3220,1410,420,6190,1200,276402,3220," 278,725 ",38475," 86,560.56 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77335,860,340,140,1740,230,45749,860," 46,016 ",3518," 53,506.98 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77336,6660,2910,980,14000,1600,646474,6660," 651,170 ",85007," 97,773.27 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77338,19800,4440,5100,38150,2840,927104,19800," 933,986 ",65310," 47,171.01 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77339,19890,7670,2510,38440,5340,1946923,19890," 1,962,961 ",261349," 98,690.85 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77340,11400,3770,1580,20180,3100,776371,11400," 782,063 ",81306," 68,602.02 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77345,12000,6600,850,26870,3810,2003547,12000," 2,021,795 ",334828," 168,482.92 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77346,35440,13210,6260,73350,6740,3441226,35440," 3,463,348 ",433410," 97,724.27 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77351,13230,5240,2040,26150,3930,866462,13230," 873,801 ",89257," 66,046.94 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77354,21530,9900,2220,45010,4870,2479100,21530," 2,500,828 ",357271," 116,155.50 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77355,14120,6760,1460,29840,3590,1636282,14120," 1,648,070 ",246151," 116,718.84 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77356,16470,8050,1430,31890,6540,2408775,16470," 2,428,281 ",398041," 147,436.61 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77357,16520,6330,2800,35400,2550,1053897,16520," 1,062,069 ",97312," 64,289.89 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77358,2540,1080,310,5060,780,215688,2540," 217,590 ",25772," 85,665.35 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77359,350,170,40,720,130,23576,350," 23,716 ",2382," 67,760.00 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77360,2450,1010,370,4830,1010,145710,2450," 146,842 ",13896," 59,935.51 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77362,3670,1820,420,8260,850,420195,3670," 423,588 ",58750," 115,419.07 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77363,1880,740,270,3830,460,112937,1880," 113,870 ",10918," 60,569.15 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77364,1160,490,160,2150,540,76776,1160," 77,123 ",7750," 66,485.35 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77365,20940,8440,3300,44620,3810,1671482,20940," 1,684,142 ",192858," 80,427.03 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77371,3190,1270,580,6980,630,176782,3190," 177,955 ",14332," 55,785.27 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77372,6010,2390,1050,13040,1110,373611,6010," 375,979 ",34834," 62,558.90 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77373,32550,9050,7020,62990,5310,1865316,32550," 1,878,646 ",164175," 57,715.70 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77375,29720,12020,4320,62680,5490,3061689,29720," 3,083,881 ",423009," 103,764.50 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77377,19360,9430,1950,42450,4640,2600139,19360," 2,618,060 ",398510," 135,230.37 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77378,8770,3300,1500,18180,1810,628494,8770," 632,840 ",77369," 72,159.64 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77379,38490,16810,4540,80020,9910,4528668,38490," 4,565,466 ",665245," 118,614.34 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77380,13910,4780,1620,24660,3330,2686095,13910," 2,704,999 ",539306," 194,464.34 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77381,15590,8230,1120,32730,5580,3505837,15590," 3,531,990 ",682052," 226,554.84 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77382,16110,8810,960,35920,4600,3915767,16110," 3,948,789 ",782854," 245,114.15 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77384,13040,5910,1170,26630,3550,1638090,13040," 1,650,013 ",246794," 126,534.74 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77385,13670,5970,1740,29190,2570,1287010,13670," 1,296,458 ",156238," 94,839.65 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77386,29270,13500,3850,66020,4970,4195648,29270," 4,221,331 ",667453," 144,220.40 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77388,23860,8570,3650,46900,5380,1858765,23860," 1,873,848 ",210009," 78,535.12 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77389,18410,8710,1880,39730,3980,3122373,18410," 3,148,027 ",567526," 170,995.49 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77396,25640,7240,6180,53190,3320,1744200,25640," 1,759,033 ",198977," 68,605.03 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77401,7870,4510,340,17690,2610,3492325,7870," 3,532,307 ",818989," 448,831.89 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77406,29300,14230,3330,64450,6610,3783498,29300," 3,812,907 ",564244," 130,133.34 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77407,36900,15230,5840,81250,5720,3213603,36900," 3,241,231 ",371677," 87,838.24 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77414,9250,3180,1870,18710,2340,608302,9250," 612,267 ",61841," 66,191.03 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77417,1080,380,220,2230,200,62712,1080, 63058.000199999995 ,5695," 58,387.04 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77418,4740,1990,600,9300,1600,538192,4740," 542,594 ",64128," 114,471.31 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77420,1170,440,210,2360,290,72786,1170," 73,406 ",6731," 62,740.17 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77422,5590,2310,900,11180,1710,403899,5590," 406,407 ",41045," 72,702.50 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77423,9010,3730,1440,19940,1440,708719,9010," 713,853 ",75357," 79,228.97 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77426,1180,520,120,2190,470,137853,1180," 139,255 ",20917," 118,012.71 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77429,41780,19040,5070,89940,9010,4955208,41780," 4,994,548 ",726124," 119,543.99 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77430,1090,510,120,2230,330,98554,1090," 99,268 ",12000," 91,071.56 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77433,51480,24220,6490,116760,8560,6445214,51480," 6,495,881 ",951589," 126,182.61 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77434,2030,580,520,3950,480,105643,2030," 106,488 ",9029," 52,457.14 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77435,2640,1160,320,5380,710,222699,2640," 224,791 ",26540," 85,148.11 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77437,8040,2790,1620,16000,2100,572329,8040," 578,738 ",70533," 71,982.34 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77441,13060,7970,870,32160,3160,2422093,13060," 2,440,111 ",408118," 186,838.51 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77442,460,200,60,900,160,28503,460," 29,084 ",2494," 63,226.09 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77444,430,150,70,910,80,27881,430," 27,988 ",2318," 65,088.37 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77445,6890,2240,1160,13370,1590,494475,6890," 499,081 ",64631," 72,435.56 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77447,12560,5160,1770,26340,2070,1069008,12560," 1,076,291 ",127904," 85,691.96 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77449,63010,19000,12830,126600,8490,3250989,63010," 3,278,962 ",244209," 52,038.76 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77450,31440,14260,3430,65760,8020,3735269,31440," 3,767,448 ",569864," 119,829.77 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77451,330,90,90,750,60,12229,330," 12,300 ",582," 37,272.73 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77455,900,380,120,1830,270,65075,900," 66,073 ",7176," 73,414.44 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77459,39600,17710,4890,82870,10210,4981077,39600," 5,019,728 ",758836," 126,760.81 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77461,5600,2330,780,11540,1340,432865,5600," 436,178 ",45217," 77,888.93 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77465,3190,1310,490,6540,960,207836,3190," 209,971 ",17517," 65,821.63 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77468,100,30,30,220,30,6274,100," 6,274 ",617," 62,740.00 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77469,31820,11930,5410,65240,6670,2601395,31820," 2,620,737 ",291229," 82,361.31 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77471,19790,5920,4360,39610,3630,1088040,19790," 1,095,465 ",88921," 55,354.47 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77474,7100,2790,1100,14200,1780,525842,7100," 529,974 ",60644," 74,644.23 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77477,16080,4240,3200,29600,3260,898622,16080," 906,388 ",85407," 56,367.41 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77478,12110,5480,960,22780,4680,1832022,12110," 1,850,520 ",308065," 152,809.25 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77479,40340,22540,2610,90550,11470,8397474,40340," 8,467,425 ",1521794," 209,901.46 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77480,3220,1360,550,6790,910,234927,3220," 235,956 ",23188," 73,278.26 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77482,1080,420,200,2260,280,79238,1080," 79,537 ",8395," 73,645.37 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77484,6470,2730,800,13290,1600,508760,6470," 512,351 ",60448," 79,188.72 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77485,1710,630,270,3350,440,109151,1710," 110,038 ",10677," 64,349.71 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77486,3610,1580,500,7500,1020,283978,3610," 285,485 ",29270," 79,081.72 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77488,6050,1870,1330,11740,1660,346353,6050," 349,032 ",32099," 57,691.24 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77489,19090,3900,4790,34400,4800,907093,19090," 913,014 ",69296," 47,826.82 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77493,33600,14090,5160,73140,4850,3113986,33600," 3,137,671 ",370869," 93,383.07 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77494,56440,30650,5070,136190,9680,8381236,56440," 8,444,577 ",1321438," 149,620.43 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77498,23460,9160,2970,46590,5780,1869857,23460," 1,886,504 ",230019," 80,413.64 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77502,15940,4780,3510,33120,2380,694237,15940," 699,747 ",42130," 43,898.81 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77503,10280,2950,2230,20550,1610,492017,10280," 494,777 ",36081," 48,130.06 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77504,9630,2740,2100,19040,1870,500296,9630," 504,038 ",41647," 52,340.39 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77505,11430,4310,1630,22210,2790,962888,11430," 969,385 ",112922," 84,810.59 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77506,12920,3550,3190,27310,1690,481769,12920," 485,917 ",24856," 37,609.67 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77510,6950,2910,890,13530,2050,605947,6950," 609,592 ",70165," 87,711.08 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77511,22740,8580,3690,46160,4990,1529690,22740," 1,538,947 ",146577," 67,675.77 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77514,2530,1050,430,5400,670,191819,2530," 192,913 ",19418," 76,250.20 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77515,13540,5050,2510,27800,3090,999125,13540," 1,005,262 ",103156," 74,243.87 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77517,2950,1300,360,5860,900,272415,2950," 273,745 ",33965," 92,794.92 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77518,4560,1300,970,8880,930,250857,4560," 252,560 ",27163," 55,385.96 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77519,470,240,50,1010,110,28982,470," 29,097 ",2297," 61,908.51 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77520,15650,4240,3950,31870,2610,783468,15650," 787,995 ",58327," 50,351.12 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77521,29110,9180,6160,59510,4650,1855618,29110," 1,865,264 ",164691," 64,076.40 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77523,14050,6350,2020,31090,2370,1494415,14050," 1,501,066 ",187181," 106,837.44 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77530,14040,4290,3090,29620,2080,658008,14040," 663,846 ",43151," 47,282.48 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77531,7150,2170,1560,14060,1380,429235,7150," 431,901 ",39194," 60,405.73 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77532,15540,6040,2700,32480,3330,1187055,15540," 1,194,129 ",123902," 76,842.28 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77534,1380,660,160,2980,340,127103,1380," 128,026 ",15165," 92,772.46 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77535,15030,6290,2470,32510,3000,1074060,15030," 1,080,413 ",102936," 71,883.77 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77536,15460,5940,2180,30440,3920,1237878,15460," 1,243,686 ",131940," 80,445.41 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77538,360,170,40,750,100,28216,360, 28297.000300000003 ,2980," 78,602.78 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77539,21600,7530,3750,42410,4570,1563372,21600," 1,573,515 ",169060," 72,847.92 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77541,6730,2140,1510,13440,1380,368549,6730," 371,698 ",32245," 55,230.01 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77545,13040,3210,3280,25670,1830,712361,13040," 717,719 ",56616," 55,039.80 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77546,24810,11530,2370,51360,6930,3622790,24810," 3,651,326 ",610373," 147,171.54 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77547,4040,1180,900,8500,650,174248,4040," 175,671 ",9937," 43,482.92 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77550,9600,2140,1710,15770,2790,749420,9600," 755,499 ",103856," 78,697.81 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77551,8810,2310,1620,15360,2530,591923,8810," 597,245 ",70791," 67,791.71 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77554,4210,1890,230,7030,1950,727298,4210," 734,428 ",126623," 174,448.46 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77560,480,160,90,920,120,32422,480," 32,482 ",3333," 67,670.83 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77562,5020,1750,940,10100,1200,302488,5020," 303,971 ",27700," 60,551.99 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77563,4770,1460,920,8760,1310,378818,4770," 381,051 ",47680," 79,884.91 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77564,760,350,110,1640,210,49206,760," 49,391 ",3990," 64,988.16 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77565,3800,1440,350,6520,1340,567633,3800," 572,155 ",102347," 150,567.11 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77566,14000,5620,2030,27980,3970,1579845,14000," 1,588,525 ",238576," 113,466.07 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77568,11620,3340,2550,22170,2300,704283,11620," 708,841 ",61821," 61,001.81 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77571,18030,6290,3030,34820,4020,1312583,18030," 1,318,390 ",133643," 73,122.02 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77573,42700,19220,4760,88540,10290,4831098,42700," 4,863,272 ",656702," 113,893.96 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77575,6100,2380,1090,12870,1460,431649,6100," 434,029 ",45439," 71,152.30 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77577,690,320,90,1390,180,50315,690," 50,651 ",5108," 73,407.25 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77578,13820,5910,2100,29370,2480,1569965,13820," 1,579,421 ",216325," 114,285.17 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77581,22010,9350,2760,45080,5720,2257949,22010," 2,273,432 ",295639," 103,290.87 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77583,22680,7590,4820,47540,2920,1716735,22680," 1,727,536 ",175920," 76,170.02 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77584,40910,16960,5770,86090,8510,4384772,40910," 4,413,747 ",580124," 107,889.20 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77585,360,170,60,830,90,24277,360," 24,343 ",2181," 67,619.45 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77586,11170,4370,1230,20950,3370,1474682,11170," 1,485,725 ",237963," 133,010.30 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77587,6630,1870,1540,13680,1000,263884,6630," 266,557 ",16038," 40,204.68 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77590,13130,3450,3080,24770,3070,762088,13130," 766,598 ",73598," 58,385.22 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77591,8200,1780,2150,15130,1610,429729,8200," 431,965 ",35273," 52,678.66 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77597,440,190,60,880,130,41549,440," 41,654 ",4983," 94,668.18 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77598,11520,2460,2020,19330,1860,630374,11520," 638,398 ",59631," 55,416.49 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77611,4330,1890,600,9100,1060,368389,4330," 370,049 ",40546," 85,461.66 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77612,3820,1830,610,8080,1030,270200,3820," 271,779 ",25357," 71,146.34 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77616,470,220,60,1010,120,28761,470," 28,827 ",2348," 61,334.04 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77619,7340,2790,1220,14900,1800,475825,7340," 478,092 ",42440," 65,135.15 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77622,750,360,90,1590,210,61781,750," 62,109 ",6345," 82,812.00 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77624,340,150,40,680,100,20372,340," 20,452 ",1888," 60,152.94 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77625,4000,1790,560,8190,1120,291356,4000," 292,852 ",30351," 73,213.00 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77627,10540,4210,1430,20590,2980,976192,10540," 981,567 ",121823," 93,127.80 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77630,11390,4010,2330,23280,2710,814991,11390," 818,954 ",91567," 71,901.14 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77632,9360,4230,1320,19400,2500,739031,9360," 742,641 ",76843," 79,341.99 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77640,6710,1530,1760,12880,1530,311677,6710," 313,390 ",23962," 46,704.92 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77642,14530,4210,3500,30370,2560,663329,14530," 667,314 ",46773," 45,926.63 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77651,5990,2640,720,12010,1870,609399,5990," 612,966 ",79972," 102,331.55 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77655,130,50,0,240,50,9044,130," 9,044 ",893," 69,569.23 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77656,7130,2950,1250,14670,1970,461121,7130," 463,378 ",41631," 64,989.90 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77657,9960,4690,1180,20850,2620,954930,9960," 961,670 ",116218," 96,553.21 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77659,2410,1150,290,5190,660,234460,2410," 235,891 ",28641," 97,880.08 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77660,670,300,70,1420,190,38947,670, 39143.000100000005 ,3265," 58,422.39 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77662,10060,4130,1630,20880,2270,648953,10060," 652,328 ",60450," 64,843.74 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77664,1230,610,130,2590,380,82055,1230," 82,567 ",7409," 67,127.64 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77665,3180,1330,460,6620,700,237122,3180," 238,472 ",27164," 74,991.19 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77701,4760,870,1400,9230,850,196861,4760," 197,998 ",14270," 41,596.22 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77702,1190,290,270,2200,260,84081,1190," 84,907 ",10764," 71,350.42 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77703,4990,730,1720,9830,870,158239,4990," 159,398 ",7544," 31,943.49 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77705,10530,3080,2510,20990,2450,632672,10530," 637,071 ",60972," 60,500.57 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77706,13190,4570,2120,24590,3910,1678819,13190," 1,694,487 ",281214," 128,467.55 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77707,7690,2260,1630,14550,1960,552206,7690," 556,613 ",66041," 72,381.40 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77708,5240,1180,1410,9790,1200,250238,5240," 251,608 ",18863," 48,016.79 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77713,6680,2400,1060,12990,1540,606433,6680," 611,083 ",76044," 91,479.49 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77801,5190,970,1060,9070,530,200880,5190," 202,440 ",14379," 39,005.78 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77802,12210,4010,1500,21550,3430,1016817,12210," 1,024,349 ",126763," 83,894.27 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77803,12930,3190,3350,26470,1810,523425,12930," 527,979 ",30778," 40,833.64 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77807,6480,2280,940,12520,1240,516058,6480," 519,976 ",62453," 80,243.21 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77808,7590,3780,740,15630,2250,765670,7590," 773,050 ",96783," 101,851.12 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77830,1640,760,190,3350,490,163338,1640," 164,692 ",21580," 100,421.95 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77831,1570,650,230,3200,460,105951,1570," 106,678 ",10755," 67,947.77 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77833,12990,5100,1670,24560,4400,1090616,12990," 1,101,522 ",136676," 84,797.69 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77835,1320,610,120,2430,530,161934,1320," 163,315 ",26199," 123,723.48 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77836,5620,2340,730,10940,1710,451557,5620," 454,979 ",56844," 80,957.12 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77837,630,190,150,1190,210,29846,630," 30,027 ",2519," 47,661.91 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77840,13550,2200,1830,19900,1270,618303,13550," 623,178 ",59589," 45,991.00 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77845,30300,13760,2590,61520,7190,3666754,30300," 3,699,591 ",543183," 122,098.71 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77853,510,220,60,1000,180,33417,510," 33,628 ",2891," 65,937.26 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77856,2350,1110,290,5020,710,182647,2350," 184,538 ",18422," 78,526.81 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77857,420,200,40,840,150,50617,420," 50,906 ",8195," 121,204.76 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77859,3140,1030,730,6430,810,207481,3140," 208,824 ",20080," 66,504.46 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77861,1500,820,130,3120,530,144345,1500," 145,199 ",16481," 96,799.33 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77864,3450,1170,740,6900,840,216924,3450," 219,088 ",23834," 63,503.77 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77865,830,400,100,1700,290,56637,830," 57,177 ",5218," 68,887.95 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77868,6590,2270,1230,12980,1700,427252,6590," 430,651 ",43732," 65,349.17 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77871,1740,930,150,3590,750,159914,1740," 161,093 ",18946," 92,582.18 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77872,970,440,110,2000,310,66297,970," 66,842 ",6343," 68,909.28 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77873,700,340,60,1420,240,85196,700," 86,007 ",15069," 122,867.14 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77879,2460,990,350,4690,850,151748,2460," 152,587 ",14467," 62,027.24 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77880,880,350,150,1660,320,88184,880," 88,949 ",12193," 101,078.41 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77901,16780,4240,4110,32170,3460,803198,16780," 808,184 ",65619," 48,163.53 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77904,13260,5480,1900,26250,4020,1452979,13260," 1,465,915 ",221054," 110,551.66 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77905,6680,3160,800,13630,2090,552531,6680," 557,838 ",66196," 83,508.68 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77954,4440,1680,760,8880,1330,436319,4440," 439,986 ",73193," 99,095.95 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77957,3750,1460,590,7610,1050,272360,3750," 274,454 ",28273," 73,187.73 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77962,1600,710,200,3400,430,110661,1600," 111,957 ",10354," 69,973.13 ",6,Sum of all income groups (agi_stubs 1-6)
TX,48,77963,2470,1100,340,4960,800,196597,2470," 198,424 ",25438," 80,333.60 ",6,Sum of all income groups (agi_stubs 1-6)
